string	citation	standard_citation	citation_id
@doi:10.1093/bioinformatics/bti079	doi:10.1093/bioinformatics/bti079	doi:10.1093/bioinformatics/bti079	OG5Jd8Ck
@doi:10.1093/bioinformatics/bti320	doi:10.1093/bioinformatics/bti320	doi:10.1093/bioinformatics/bti320	E9o1eL84
@doi:10.1093/bioinformatics/btq429	doi:10.1093/bioinformatics/btq429	doi:10.1093/bioinformatics/btq429	1DlzNU0dT
@doi:10.1093/molbev/msx335	doi:10.1093/molbev/msx335	doi:10.1093/molbev/msx335	1DPhLuJmc
@doi:10.1093/molbev/msy096	doi:10.1093/molbev/msy096	doi:10.1093/molbev/msy096	59wIwwiv
@doi:10.1093/nar/gky379	doi:10.1093/nar/gky379	doi:10.1093/nar/gky379	WBsVRA32
@doi:10.21105/joss.00514	doi:10.21105/joss.00514	doi:10.21105/joss.00514	M8c1F3zk
